#;Ano;Sede;Campeão;Placar;Vice-campeão;Terceiro lugar;Placar_1;Quarto lugar
1;1930;Uruguai;Uruguai;4 – 2;Argentina;Estados Unidos;6 – 1;Iugoslávia
2;1934;Itália;Itália;"2 – 1
(pro)";República Checa;Alemanha;3 – 2;Áustria
3;1938;França;Itália;4 – 2;Hungria;Brasil;4 – 2;Suécia
4;1950;Brasil;Uruguai;2 – 1;Brasil;Suécia;3 – 1;Espanha
5;1954;Suíça;Alemanha;3 – 2;Hungria;Áustria;3 – 1;Uruguai
6;1958;Suécia;Brasil;5 – 2;Suécia;França;6 – 3;Alemanha
7;1962;Chile;Brasil;3 – 1;República Checa;Chile;1 – 0;Iugoslávia
8;1966;Inglaterra;Inglaterra;"4 – 2
(pro)";Alemanha;Portugal;2 – 1;União Soviética
9;1970;México;Brasil;4 – 1;Itália;Alemanha;1 – 0;Uruguai
10;1974;Alemanha;Alemanha;2 – 1;Holanda;Polônia;1 – 0;Brasil
11;1978;Argentina;Argentina;"3 – 1
(pro)";Holanda;Brasil;2 – 1;Itália
12;1982;Espanha;Itália;3 – 1;Alemanha;Polônia;3 – 2;França
13;1986;México;Argentina;3 – 2;Alemanha;França;"4 – 2
(pro)";Bélgica
14;1990;Itália;Alemanha;1 – 0;Argentina;Itália;2 – 1;Inglaterra
15;1994;Estados Unidos;Brasil;"0 – 0 (pro)
3 – 2 (pen)";Itália;Suécia;4 – 0;Bulgária
16;1998;França;França;3 – 0;Brasil;Croácia;2 – 1;Holanda
17;2002;"Coreia do Sul e 
Japão";Brasil;2 – 0;Alemanha;Turquia;3 – 2;Coreia do Sul
18;2006;Alemanha;Itália;"1 – 1 (pro)
5 – 3 (pen)";França;Alemanha;3 – 1;Portugal
19;2010;África do Sul;Espanha;"1 – 0
(pro)";Holanda;Alemanha;3 – 2;Uruguai
20;2014;Brasil;Alemanha;"1 – 0
(pro)";Argentina;Holanda;3 – 0;Brasil
21;2018;Rússia;França;4 – 2;Croácia;Bélgica;2 – 0;Inglaterra
